snapshot;on_wind;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
6845;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6846;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6847;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6848;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6849;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6850;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6851;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6852;20.56;0.0;-0.8;18.62;10.8;-10.8;-10.8;1.94;0.0;10.0
6853;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6854;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6855;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
